calendar_date,id_bi_rate,days_since_id_bi_rate
2020-01-02,5.00%,21
2020-01-03,5.00%,20
2020-01-04,5.00%,19
2020-01-05,5.00%,18
2020-01-06,5.00%,17
2020-01-07,5.00%,16
2020-01-08,5.00%,15
2020-01-09,5.00%,14
2020-01-10,5.00%,13
2020-01-11,5.00%,12
2020-01-12,5.00%,11
2020-01-13,5.00%,10
2020-01-14,5.00%,9
2020-01-15,5.00%,8
2020-01-16,5.00%,7
2020-01-17,5.00%,6
2020-01-18,5.00%,5
2020-01-19,5.00%,4
2020-01-20,5.00%,3
2020-01-21,5.00%,2
2020-01-22,5.00%,1
2020-01-23,5.00%,0
2020-01-24,5.00%,1
2020-01-25,5.00%,2
2020-01-26,5.00%,3
2020-01-27,5.00%,4
2020-01-28,5.00%,5
2020-01-29,5.00%,6
2020-01-30,5.00%,7
2020-01-31,5.00%,8
2020-02-01,5.00%,9
2020-02-02,5.00%,10
2020-02-03,5.00%,11
2020-02-04,5.00%,12
2020-02-05,5.00%,13
2020-02-06,5.00%,14
2020-02-07,5.00%,15
2020-02-08,5.00%,16
2020-02-09,5.00%,17
2020-02-10,5.00%,18
2020-02-11,5.00%,19
2020-02-12,5.00%,20
2020-02-13,5.00%,21
2020-02-14,5.00%,22
2020-02-15,5.00%,23
2020-02-16,5.00%,24
2020-02-17,5.00%,25
2020-02-18,5.00%,26
2020-02-19,5.00%,27
2020-02-20,4.75%,0
2020-02-21,4.75%,1
2020-02-22,4.75%,2
2020-02-23,4.75%,3
2020-02-24,4.75%,4
2020-02-25,4.75%,5
2020-02-26,4.75%,6
2020-02-27,4.75%,7
2020-02-28,4.75%,8
2020-02-29,4.75%,9
2020-03-01,4.75%,10
2020-03-02,4.75%,11
2020-03-03,4.75%,12
2020-03-04,4.75%,13
2020-03-05,4.75%,14
2020-03-06,4.75%,15
2020-03-07,4.75%,16
2020-03-08,4.75%,17
2020-03-09,4.75%,18
2020-03-10,4.75%,19
2020-03-11,4.75%,20
2020-03-12,4.75%,21
2020-03-13,4.75%,22
2020-03-14,4.75%,23
2020-03-15,4.75%,24
2020-03-16,4.75%,25
2020-03-17,4.75%,26
2020-03-18,4.75%,27
2020-03-19,4.50%,0
2020-03-20,4.50%,1
2020-03-21,4.50%,2
2020-03-22,4.50%,3
2020-03-23,4.50%,4
2020-03-24,4.50%,5
2020-03-25,4.50%,6
2020-03-26,4.50%,7
2020-03-27,4.50%,8
2020-03-28,4.50%,9
2020-03-29,4.50%,10
2020-03-30,4.50%,11
2020-03-31,4.50%,12
2020-04-01,4.50%,13
2020-04-02,4.50%,14
2020-04-03,4.50%,15
2020-04-04,4.50%,16
2020-04-05,4.50%,17
2020-04-06,4.50%,18
2020-04-07,4.50%,19
2020-04-08,4.50%,20
2020-04-09,4.50%,21
2020-04-10,4.50%,22
2020-04-11,4.50%,23
2020-04-12,4.50%,24
2020-04-13,4.50%,25
2020-04-14,4.50%,0
2020-04-15,4.50%,1
2020-04-16,4.50%,2
2020-04-17,4.50%,3
2020-04-18,4.50%,4
2020-04-19,4.50%,5
2020-04-20,4.50%,6
2020-04-21,4.50%,7
2020-04-22,4.50%,8
2020-04-23,4.50%,9
2020-04-24,4.50%,10
2020-04-25,4.50%,11
2020-04-26,4.50%,12
2020-04-27,4.50%,13
2020-04-28,4.50%,14
2020-04-29,4.50%,15
2020-04-30,4.50%,16
2020-05-01,4.50%,17
2020-05-02,4.50%,18
2020-05-03,4.50%,19
2020-05-04,4.50%,20
2020-05-05,4.50%,21
2020-05-06,4.50%,22
2020-05-07,4.50%,23
2020-05-08,4.50%,24
2020-05-09,4.50%,25
2020-05-10,4.50%,26
2020-05-11,4.50%,27
2020-05-12,4.50%,28
2020-05-13,4.50%,29
2020-05-14,4.50%,30
2020-05-15,4.50%,31
2020-05-16,4.50%,32
2020-05-17,4.50%,33
2020-05-18,4.50%,34
2020-05-19,4.50%,0
2020-05-20,4.50%,1
2020-05-21,4.50%,2
2020-05-22,4.50%,3
2020-05-23,4.50%,4
2020-05-24,4.50%,5
2020-05-25,4.50%,6
2020-05-26,4.50%,7
2020-05-27,4.50%,8
2020-05-28,4.50%,9
2020-05-29,4.50%,10
2020-05-30,4.50%,11
2020-05-31,4.50%,12
2020-06-01,4.50%,13
2020-06-02,4.50%,14
2020-06-03,4.50%,15
2020-06-04,4.50%,16
2020-06-05,4.50%,17
2020-06-06,4.50%,18
2020-06-07,4.50%,19
2020-06-08,4.50%,20
2020-06-09,4.50%,21
2020-06-10,4.50%,22
2020-06-11,4.50%,23
2020-06-12,4.50%,24
2020-06-13,4.50%,25
2020-06-14,4.50%,26
2020-06-15,4.50%,27
2020-06-16,4.50%,28
2020-06-17,4.50%,29
2020-06-18,4.25%,0
2020-06-19,4.25%,1
2020-06-20,4.25%,2
2020-06-21,4.25%,3
2020-06-22,4.25%,4
2020-06-23,4.25%,5
2020-06-24,4.25%,6
2020-06-25,4.25%,7
2020-06-26,4.25%,8
2020-06-27,4.25%,9
2020-06-28,4.25%,10
2020-06-29,4.25%,11
2020-06-30,4.25%,12
2020-07-01,4.25%,13
2020-07-02,4.25%,14
2020-07-03,4.25%,15
2020-07-04,4.25%,16
2020-07-05,4.25%,17
2020-07-06,4.25%,18
2020-07-07,4.25%,19
2020-07-08,4.25%,20
2020-07-09,4.25%,21
2020-07-10,4.25%,22
2020-07-11,4.25%,23
2020-07-12,4.25%,24
2020-07-13,4.25%,25
2020-07-14,4.25%,26
2020-07-15,4.25%,27
2020-07-16,4.00%,0
2020-07-17,4.00%,1
2020-07-18,4.00%,2
2020-07-19,4.00%,3
2020-07-20,4.00%,4
2020-07-21,4.00%,5
2020-07-22,4.00%,6
2020-07-23,4.00%,7
2020-07-24,4.00%,8
2020-07-25,4.00%,9
2020-07-26,4.00%,10
2020-07-27,4.00%,11
2020-07-28,4.00%,12
2020-07-29,4.00%,13
2020-07-30,4.00%,14
2020-07-31,4.00%,15
2020-08-01,4.00%,16
2020-08-02,4.00%,17
2020-08-03,4.00%,18
2020-08-04,4.00%,19
2020-08-05,4.00%,20
2020-08-06,4.00%,21
2020-08-07,4.00%,22
2020-08-08,4.00%,23
2020-08-09,4.00%,24
2020-08-10,4.00%,25
2020-08-11,4.00%,26
2020-08-12,4.00%,27
2020-08-13,4.00%,28
2020-08-14,4.00%,29
2020-08-15,4.00%,30
2020-08-16,4.00%,31
2020-08-17,4.00%,32
2020-08-18,4.00%,33
2020-08-19,4.00%,0
2020-08-20,4.00%,1
2020-08-21,4.00%,2
2020-08-22,4.00%,3
2020-08-23,4.00%,4
2020-08-24,4.00%,5
2020-08-25,4.00%,6
2020-08-26,4.00%,7
2020-08-27,4.00%,8
2020-08-28,4.00%,9
2020-08-29,4.00%,10
2020-08-30,4.00%,11
2020-08-31,4.00%,12
2020-09-01,4.00%,13
2020-09-02,4.00%,14
2020-09-03,4.00%,15
2020-09-04,4.00%,16
2020-09-05,4.00%,17
2020-09-06,4.00%,18
2020-09-07,4.00%,19
2020-09-08,4.00%,20
2020-09-09,4.00%,21
2020-09-10,4.00%,22
2020-09-11,4.00%,23
2020-09-12,4.00%,24
2020-09-13,4.00%,25
2020-09-14,4.00%,26
2020-09-15,4.00%,27
2020-09-16,4.00%,28
2020-09-17,4.00%,0
2020-09-18,4.00%,1
2020-09-19,4.00%,2
2020-09-20,4.00%,3
2020-09-21,4.00%,4
2020-09-22,4.00%,5
2020-09-23,4.00%,6
2020-09-24,4.00%,7
2020-09-25,4.00%,8
2020-09-26,4.00%,9
2020-09-27,4.00%,10
2020-09-28,4.00%,11
2020-09-29,4.00%,12
2020-09-30,4.00%,13
2020-10-01,4.00%,14
2020-10-02,4.00%,15
2020-10-03,4.00%,16
2020-10-04,4.00%,17
2020-10-05,4.00%,18
2020-10-06,4.00%,19
2020-10-07,4.00%,20
2020-10-08,4.00%,21
2020-10-09,4.00%,22
2020-10-10,4.00%,23
2020-10-11,4.00%,24
2020-10-12,4.00%,25
2020-10-13,4.00%,0
2020-10-14,4.00%,1
2020-10-15,4.00%,2
2020-10-16,4.00%,3
2020-10-17,4.00%,4
2020-10-18,4.00%,5
2020-10-19,4.00%,6
2020-10-20,4.00%,7
2020-10-21,4.00%,8
2020-10-22,4.00%,9
2020-10-23,4.00%,10
2020-10-24,4.00%,11
2020-10-25,4.00%,12
2020-10-26,4.00%,13
2020-10-27,4.00%,14
2020-10-28,4.00%,15
2020-10-29,4.00%,16
2020-10-30,4.00%,17
2020-10-31,4.00%,18
2020-11-01,4.00%,19
2020-11-02,4.00%,20
2020-11-03,4.00%,21
2020-11-04,4.00%,22
2020-11-05,4.00%,23
2020-11-06,4.00%,24
2020-11-07,4.00%,25
2020-11-08,4.00%,26
2020-11-09,4.00%,27
2020-11-10,4.00%,28
2020-11-11,4.00%,29
2020-11-12,4.00%,30
2020-11-13,4.00%,31
2020-11-14,4.00%,32
2020-11-15,4.00%,33
2020-11-16,4.00%,34
2020-11-17,4.00%,35
2020-11-18,4.00%,36
2020-11-19,3.75%,0
2020-11-20,3.75%,1
2020-11-21,3.75%,2
2020-11-22,3.75%,3
2020-11-23,3.75%,4
2020-11-24,3.75%,5
2020-11-25,3.75%,6
2020-11-26,3.75%,7
2020-11-27,3.75%,8
2020-11-28,3.75%,9
2020-11-29,3.75%,10
2020-11-30,3.75%,11
2020-12-01,3.75%,12
2020-12-02,3.75%,13
2020-12-03,3.75%,14
2020-12-04,3.75%,15
2020-12-05,3.75%,16
2020-12-06,3.75%,17
2020-12-07,3.75%,18
2020-12-08,3.75%,19
2020-12-09,3.75%,20
2020-12-10,3.75%,21
2020-12-11,3.75%,22
2020-12-12,3.75%,23
2020-12-13,3.75%,24
2020-12-14,3.75%,25
2020-12-15,3.75%,26
2020-12-16,3.75%,27
2020-12-17,3.75%,0
2020-12-18,3.75%,1
2020-12-19,3.75%,2
2020-12-20,3.75%,3
2020-12-21,3.75%,4
2020-12-22,3.75%,5
2020-12-23,3.75%,6
2020-12-24,3.75%,7
2020-12-25,3.75%,8
2020-12-26,3.75%,9
2020-12-27,3.75%,10
2020-12-28,3.75%,11
2020-12-29,3.75%,12
2020-12-30,3.75%,13
2020-12-31,3.75%,14
2021-01-01,3.75%,15
2021-01-02,3.75%,16
2021-01-03,3.75%,17
2021-01-04,3.75%,18
2021-01-05,3.75%,19
2021-01-06,3.75%,20
2021-01-07,3.75%,21
2021-01-08,3.75%,22
2021-01-09,3.75%,23
2021-01-10,3.75%,24
2021-01-11,3.75%,25
2021-01-12,3.75%,26
2021-01-13,3.75%,27
2021-01-14,3.75%,28
2021-01-15,3.75%,29
2021-01-16,3.75%,30
2021-01-17,3.75%,31
2021-01-18,3.75%,32
2021-01-19,3.75%,33
2021-01-20,3.75%,34
2021-01-21,3.75%,0
2021-01-22,3.75%,1
2021-01-23,3.75%,2
2021-01-24,3.75%,3
2021-01-25,3.75%,4
2021-01-26,3.75%,5
2021-01-27,3.75%,6
2021-01-28,3.75%,7
2021-01-29,3.75%,8
2021-01-30,3.75%,9
2021-01-31,3.75%,10
2021-02-01,3.75%,11
2021-02-02,3.75%,12
2021-02-03,3.75%,13
2021-02-04,3.75%,14
2021-02-05,3.75%,15
2021-02-06,3.75%,16
2021-02-07,3.75%,17
2021-02-08,3.75%,18
2021-02-09,3.75%,19
2021-02-10,3.75%,20
2021-02-11,3.75%,21
2021-02-12,3.75%,22
2021-02-13,3.75%,23
2021-02-14,3.75%,24
2021-02-15,3.75%,25
2021-02-16,3.75%,26
2021-02-17,3.75%,27
2021-02-18,3.50%,0
2021-02-19,3.50%,1
2021-02-20,3.50%,2
2021-02-21,3.50%,3
2021-02-22,3.50%,4
2021-02-23,3.50%,5
2021-02-24,3.50%,6
2021-02-25,3.50%,7
2021-02-26,3.50%,8
2021-02-27,3.50%,9
2021-02-28,3.50%,10
2021-03-01,3.50%,11
2021-03-02,3.50%,12
2021-03-03,3.50%,13
2021-03-04,3.50%,14
2021-03-05,3.50%,15
2021-03-06,3.50%,16
2021-03-07,3.50%,17
2021-03-08,3.50%,18
2021-03-09,3.50%,19
2021-03-10,3.50%,20
2021-03-11,3.50%,21
2021-03-12,3.50%,22
2021-03-13,3.50%,23
2021-03-14,3.50%,24
2021-03-15,3.50%,25
2021-03-16,3.50%,26
2021-03-17,3.50%,27
2021-03-18,3.50%,0
2021-03-19,3.50%,1
2021-03-20,3.50%,2
2021-03-21,3.50%,3
2021-03-22,3.50%,4
2021-03-23,3.50%,5
2021-03-24,3.50%,6
2021-03-25,3.50%,7
2021-03-26,3.50%,8
2021-03-27,3.50%,9
2021-03-28,3.50%,10
2021-03-29,3.50%,11
2021-03-30,3.50%,12
2021-03-31,3.50%,13
2021-04-01,3.50%,14
2021-04-02,3.50%,15
2021-04-03,3.50%,16
2021-04-04,3.50%,17
2021-04-05,3.50%,18
2021-04-06,3.50%,19
2021-04-07,3.50%,20
2021-04-08,3.50%,21
2021-04-09,3.50%,22
2021-04-10,3.50%,23
2021-04-11,3.50%,24
2021-04-12,3.50%,25
2021-04-13,3.50%,26
2021-04-14,3.50%,27
2021-04-15,3.50%,28
2021-04-16,3.50%,29
2021-04-17,3.50%,30
2021-04-18,3.50%,31
2021-04-19,3.50%,32
2021-04-20,3.50%,0
2021-04-21,3.50%,1
2021-04-22,3.50%,2
2021-04-23,3.50%,3
2021-04-24,3.50%,4
2021-04-25,3.50%,5
2021-04-26,3.50%,6
2021-04-27,3.50%,7
2021-04-28,3.50%,8
2021-04-29,3.50%,9
2021-04-30,3.50%,10
2021-05-01,3.50%,11
2021-05-02,3.50%,12
2021-05-03,3.50%,13
2021-05-04,3.50%,14
2021-05-05,3.50%,15
2021-05-06,3.50%,16
2021-05-07,3.50%,17
2021-05-08,3.50%,18
2021-05-09,3.50%,19
2021-05-10,3.50%,20
2021-05-11,3.50%,21
2021-05-12,3.50%,22
2021-05-13,3.50%,23
2021-05-14,3.50%,24
2021-05-15,3.50%,25
2021-05-16,3.50%,26
2021-05-17,3.50%,27
2021-05-18,3.50%,28
2021-05-19,3.50%,29
2021-05-20,3.50%,30
2021-05-21,3.50%,31
2021-05-22,3.50%,32
2021-05-23,3.50%,33
2021-05-24,3.50%,34
2021-05-25,3.50%,35
2021-05-26,3.50%,36
2021-05-27,3.50%,37
2021-05-28,3.50%,38
2021-05-29,3.50%,39
2021-05-30,3.50%,40
2021-05-31,3.50%,41
2021-06-01,3.50%,42
2021-06-02,3.50%,43
2021-06-03,3.50%,44
2021-06-04,3.50%,45
2021-06-05,3.50%,46
2021-06-06,3.50%,47
2021-06-07,3.50%,48
2021-06-08,3.50%,49
2021-06-09,3.50%,50
2021-06-10,3.50%,51
2021-06-11,3.50%,52
2021-06-12,3.50%,53
2021-06-13,3.50%,54
2021-06-14,3.50%,55
2021-06-15,3.50%,56
2021-06-16,3.50%,57
2021-06-17,3.50%,0
2021-06-18,3.50%,1
2021-06-19,3.50%,2
2021-06-20,3.50%,3
2021-06-21,3.50%,4
2021-06-22,3.50%,5
2021-06-23,3.50%,6
2021-06-24,3.50%,7
2021-06-25,3.50%,8
2021-06-26,3.50%,9
2021-06-27,3.50%,10
2021-06-28,3.50%,11
2021-06-29,3.50%,12
2021-06-30,3.50%,13
2021-07-01,3.50%,14
2021-07-02,3.50%,15
2021-07-03,3.50%,16
2021-07-04,3.50%,17
2021-07-05,3.50%,18
2021-07-06,3.50%,19
2021-07-07,3.50%,20
2021-07-08,3.50%,21
2021-07-09,3.50%,22
2021-07-10,3.50%,23
2021-07-11,3.50%,24
2021-07-12,3.50%,25
2021-07-13,3.50%,26
2021-07-14,3.50%,27
2021-07-15,3.50%,28
2021-07-16,3.50%,29
2021-07-17,3.50%,30
2021-07-18,3.50%,31
2021-07-19,3.50%,32
2021-07-20,3.50%,33
2021-07-21,3.50%,34
2021-07-22,3.50%,0
2021-07-23,3.50%,1
2021-07-24,3.50%,2
2021-07-25,3.50%,3
2021-07-26,3.50%,4
2021-07-27,3.50%,5
2021-07-28,3.50%,6
2021-07-29,3.50%,7
2021-07-30,3.50%,8
2021-07-31,3.50%,9
2021-08-01,3.50%,10
2021-08-02,3.50%,11
2021-08-03,3.50%,12
2021-08-04,3.50%,13
2021-08-05,3.50%,14
2021-08-06,3.50%,15
2021-08-07,3.50%,16
2021-08-08,3.50%,17
2021-08-09,3.50%,18
2021-08-10,3.50%,19
2021-08-11,3.50%,20
2021-08-12,3.50%,21
2021-08-13,3.50%,22
2021-08-14,3.50%,23
2021-08-15,3.50%,24
2021-08-16,3.50%,25
2021-08-17,3.50%,26
2021-08-18,3.50%,27
2021-08-19,3.50%,0
2021-08-20,3.50%,1
2021-08-21,3.50%,2
2021-08-22,3.50%,3
2021-08-23,3.50%,4
2021-08-24,3.50%,5
2021-08-25,3.50%,6
2021-08-26,3.50%,7
2021-08-27,3.50%,8
2021-08-28,3.50%,9
2021-08-29,3.50%,10
2021-08-30,3.50%,11
2021-08-31,3.50%,12
2021-09-01,3.50%,13
2021-09-02,3.50%,14
2021-09-03,3.50%,15
2021-09-04,3.50%,16
2021-09-05,3.50%,17
2021-09-06,3.50%,18
2021-09-07,3.50%,19
2021-09-08,3.50%,20
2021-09-09,3.50%,21
2021-09-10,3.50%,22
2021-09-11,3.50%,23
2021-09-12,3.50%,24
2021-09-13,3.50%,25
2021-09-14,3.50%,26
2021-09-15,3.50%,27
2021-09-16,3.50%,28
2021-09-17,3.50%,29
2021-09-18,3.50%,30
2021-09-19,3.50%,31
2021-09-20,3.50%,32
2021-09-21,3.50%,0
2021-09-22,3.50%,1
2021-09-23,3.50%,2
2021-09-24,3.50%,3
2021-09-25,3.50%,4
2021-09-26,3.50%,5
2021-09-27,3.50%,6
2021-09-28,3.50%,7
2021-09-29,3.50%,8
2021-09-30,3.50%,9
2021-10-01,3.50%,10
2021-10-02,3.50%,11
2021-10-03,3.50%,12
2021-10-04,3.50%,13
2021-10-05,3.50%,14
2021-10-06,3.50%,15
2021-10-07,3.50%,16
2021-10-08,3.50%,17
2021-10-09,3.50%,18
2021-10-10,3.50%,19
2021-10-11,3.50%,20
2021-10-12,3.50%,21
2021-10-13,3.50%,22
2021-10-14,3.50%,23
2021-10-15,3.50%,24
2021-10-16,3.50%,25
2021-10-17,3.50%,26
2021-10-18,3.50%,27
2021-10-19,3.50%,0
2021-10-20,3.50%,1
2021-10-21,3.50%,2
2021-10-22,3.50%,3
2021-10-23,3.50%,4
2021-10-24,3.50%,5
2021-10-25,3.50%,6
2021-10-26,3.50%,7
2021-10-27,3.50%,8
2021-10-28,3.50%,9
2021-10-29,3.50%,10
2021-10-30,3.50%,11
2021-10-31,3.50%,12
2021-11-01,3.50%,13
2021-11-02,3.50%,14
2021-11-03,3.50%,15
2021-11-04,3.50%,16
2021-11-05,3.50%,17
2021-11-06,3.50%,18
2021-11-07,3.50%,19
2021-11-08,3.50%,20
2021-11-09,3.50%,21
2021-11-10,3.50%,22
2021-11-11,3.50%,23
2021-11-12,3.50%,24
2021-11-13,3.50%,25
2021-11-14,3.50%,26
2021-11-15,3.50%,27
2021-11-16,3.50%,28
2021-11-17,3.50%,29
2021-11-18,3.50%,0
